aadhaar_number,name,father_name,date_of_birth,gender,district,village,mobile,enrollment_date
234567890123,राम कुमार शर्मा,श्री मोहन लाल शर्मा,1956-05-10,M,रायपुर,खमतराई,9876543210,2015-03-20
345678901234,सुनीता देवी पटेल,श्री हरि प्रसाद,1960-08-15,F,बिलासपुर,कोटा,9876543211,2015-06-12
456789012345,राजेश कुमार,श्री गोपाल दास,1971-02-20,M,दुर्ग,पाटन,9876543212,2016-01-08
567890123456,प्रदीप कुमार साहू,श्री रामलाल साहू,1978-11-25,M,रायपुर,बलौदा बाजार,9876543213,2015-09-15
678901234567,अनिता देवी,श्री राम प्रसाद,1982-04-30,F,बिलासपुर,मुंगेली,9876543214,2016-03-22
789012345678,विनोद कुमार वर्मा,श्री प्रेम कुमार वर्मा,1965-07-18,M,रायपुर,आरंग,9876543215,2015-11-10
890123456789,मीना बाई साहू,श्री रामचरण साहू,1954-12-05,F,रायपुर,बलौदा बाजार,9876543216,2016-05-18
901234567890,रमेश कुमार यादव,श्री राम प्रसाद यादव,1982-09-12,M,बिलासपुर,मुंगेली,9876543217,2015-07-25
123456789012,कमला देवी,श्री सीताराम,1944-03-22,F,रायपुर,बलौदा बाजार,9876543218,2016-02-14
234567890124,सुरेश कुमार पटेल,श्री रामदीन पटेल,1957-06-08,M,बिलासपुर,जांजगीर,9876543219,2015-10-30
345678901235,गीता देवी,श्री श्याम लाल,1948-10-15,F,राजनांदगांव,छुईखदान,9876543220,2016-04-12
456789012346,अशोक कुमार,श्री बाबूलाल,1968-01-28,M,दुर्ग,बेमेतरा,9876543221,2015-08-19
567890123457,लक्ष्मी बाई पटेल,श्री रामदीन पटेल,1957-05-12,F,बिलासपुर,जांजगीर,9876543222,2016-01-28
678901234568,दिनेश कुमार साहू,श्री सुरेश साहू,1980-08-22,M,रायपुर,धमतरी,9876543223,2015-12-14
789012345679,रेखा देवी,श्री विष्णु प्रसाद,1955-11-30,F,राजनांदगांव,खैरागढ़,9876543224,2016-03-22
890123456790,सुरेश कुमार वर्मा,श्री राम कुमार वर्मा,1966-02-18,M,बिलासपुर,अकलतरा,9876543225,2015-09-05
901234567891,शांति देवी,श्री रामलाल,1950-07-25,F,दुर्ग,दुर्ग,9876543226,2016-05-30
123456789013,रवि कुमार,श्री मनोहर लाल,1977-12-10,M,रायपुर,गरियाबंद,9876543227,2015-12-20
234567890125,उषा देवी साहू,श्री गोपाल साहू,1953-04-18,F,बिलासपुर,मस्तूरी,9876543228,2016-02-08
345678901236,नरेश कुमार पटेल,श्री रामप्रसाद पटेल,1969-09-05,M,राजनांदगांव,डोंगरगढ़,9876543229,2015-08-15
456789012347,राजेंद्र कुमार,श्री हरि प्रसाद,1961-03-14,M,दुर्ग,भिलाई,9876543230,2016-04-18
567890123458,सुमित्रा बाई,श्री रामदयाल,1947-06-22,F,बिलासपुर,तखतपुर,9876543231,2015-10-12
