application_id,applicant_name,scheme_type,department,status,submission_date,decision_date,age,income,address,phone,rejection_reason
APP001,राजेश कुमार साहू,widow_pension,समाज कल्याण विभाग,approved,2023-07-15,2023-08-10,45,85000,रायपुर,,
APP002,सुनीता देवी पटेल,widow_pension,समाज कल्याण विभाग,rejected,2023-08-20,2023-09-05,38,95000,बिलासपुर,9876543211,अपूर्ण दस्तावेज
APP003,अनिल कुमार वर्मा,widow_pension,समाज कल्याण विभाग,approved,2023-07-10,2023-08-15,52,75000,दुर्ग,9876543212,
APP004,मीना बाई,widow_pension,समाज कल्याण विभाग,rejected,2023-08-25,2023-09-10,41,,रायपुर,,आय प्रमाण नहीं
APP005,रामलाल यादव,widow_pension,समाज कल्याण विभाग,approved,2023-07-20,2023-08-25,60,70000,रायपुर,9876543214,
APP006,गीता देवी,widow_pension,समाज कल्याण विभाग,rejected,2023-08-15,2023-09-08,35,120000,बिलासपुर,9876543215,आय सीमा से अधिक
APP007,प्रकाश चंद्र साहू,widow_pension,समाज कल्याण विभाग,approved,2023-07-25,2023-08-20,48,80000,दुर्ग,9876543216,
APP008,कमला देवी,widow_pension,समाज कल्याण विभाग,rejected,2023-08-18,2023-09-12,55,,राजनांदगांव,,मृत्यु प्रमाण पत्र नहीं
APP009,विनोद कुमार,widow_pension,समाज कल्याण विभाग,approved,2023-07-30,2023-08-28,43,78000,रायपुर,9876543218,
APP010,सुरेश पटेल,widow_pension,समाज कल्याण विभाग,rejected,2023-08-22,2023-09-15,39,110000,बिलासपुर,,आय सीमा से अधिक
APP011,रेखा देवी,widow_pension,समाज कल्याण विभाग,approved,2023-08-05,2023-09-10,50,82000,दुर्ग,9876543220,
APP012,महेश कुमार,widow_pension,समाज कल्याण विभाग,rejected,2023-08-28,2023-09-18,44,,रायपुर,,आय प्रमाण नहीं
APP013,शांति बाई,widow_pension,समाज कल्याण विभाग,approved,2023-08-10,2023-09-15,58,72000,बिलासपुर,9876543222,
APP014,राजेंद्र यादव,widow_pension,समाज कल्याण विभाग,rejected,2023-08-25,2023-09-20,36,98000,राजनांदगांव,9876543223,दस्तावेज अपूर्ण
APP015,उषा देवी साहू,widow_pension,समाज कल्याण विभाग,approved,2023-08-12,2023-09-18,47,76000,रायपुर,9876543224,
APP016,अशोक कुमार,disability_pension,समाज कल्याण विभाग,rejected,2023-08-20,2023-09-22,42,,दुर्ग,,विकलांगता प्रमाण पत्र नहीं
APP017,पार्वती देवी,disability_pension,समाज कल्याण विभाग,approved,2023-08-15,2023-09-20,38,65000,बिलासपुर,9876543226,
APP018,संतोष कुमार,disability_pension,समाज कल्याण विभाग,rejected,2023-08-28,2023-09-25,45,90000,रायपुर,,आय सीमा से अधिक
APP019,मंजू देवी,disability_pension,समाज कल्याण विभाग,approved,2023-08-18,2023-09-22,51,60000,राजनांदगांव,9876543228,
APP020,योगेश वर्मा,disability_pension,समाज कल्याण विभाग,rejected,2023-08-25,2023-09-28,33,,दुर्ग,,विकलांगता प्रतिशत कम
APP021,कृष्णा देवी,old_age_pension,समाज कल्याण विभाग,approved,2023-08-20,2023-09-25,65,55000,रायपुर,9876543230,
