card_number,head_of_family,father_name,card_type,district,village,issue_date,members_count,status
RC2023001,राम कुमार शर्मा,श्री मोहन लाल शर्मा,APL,रायपुर,खमतराई,2022-01-15,4,active
RC2023002,सुनीता देवी पटेल,श्री हरि प्रसाद,BPL,बिलासपुर,कोटा,2021-08-20,5,active
RC2023003,राजेश कुमार,श्री गोपाल दास,BPL,दुर्ग,पाटन,2022-03-10,3,active
RC2023004,प्रदीप कुमार साहू,श्री रामलाल साहू,APL,रायपुर,बलौदा बाजार,2021-11-05,6,active
RC2023005,अनिता देवी,श्री राम प्रसाद,BPL,बिलासपुर,मुंगेली,2022-05-18,4,active
RC2023006,विनोद कुमार वर्मा,श्री प्रेम कुमार वर्मा,APL,रायपुर,आरंग,2021-09-22,5,active
RC2023007,मीना बाई साहू,श्री रामचरण साहू,BPL,रायपुर,बलौदा बाजार,2022-02-14,3,active
RC2023008,रमेश कुमार यादव,श्री राम प्रसाद यादव,APL,बिलासपुर,मुंगेली,2021-12-08,4,active
RC2023009,कमला देवी,श्री सीताराम,BPL,रायपुर,बलौदा बाजार,2022-06-25,7,active
RC2023010,सुरेश कुमार पटेल,श्री रामदीन पटेल,APL,बिलासपुर,जांजगीर,2021-10-30,5,active
RC2023011,गीता देवी,श्री श्याम लाल,BPL,राजनांदगांव,छुईखदान,2022-04-12,4,active
RC2023012,अशोक कुमार,श्री बाबूलाल,APL,दुर्ग,बेमेतरा,2021-07-19,3,active
RC2023013,लक्ष्मी बाई पटेल,श्री रामदीन पटेल,BPL,बिलासपुर,जांजगीर,2022-01-28,6,active
RC2023014,दिनेश कुमार साहू,श्री सुरेश साहू,APL,रायपुर,धमतरी,2021-11-14,4,active
RC2023015,रेखा देवी,श्री विष्णु प्रसाद,BPL,राजनांदगांव,खैरागढ़,2022-03-22,5,active
RC2023016,सुरेश कुमार वर्मा,श्री राम कुमार वर्मा,APL,बिलासपुर,अकलतरा,2021-09-05,3,active
RC2023017,शांति देवी,श्री रामलाल,BPL,दुर्ग,दुर्ग,2022-05-30,4,active
RC2023018,रवि कुमार,श्री मनोहर लाल,APL,रायपुर,गरियाबंद,2021-12-20,6,active
RC2023019,उषा देवी साहू,श्री गोपाल साहू,BPL,बिलासपुर,मस्तूरी,2022-02-08,5,active
RC2023020,नरेश कुमार पटेल,श्री रामप्रसाद पटेल,APL,राजनांदगांव,डोंगरगढ़,2021-08-15,4,active
RC2023021,राजेंद्र कुमार,श्री हरि प्रसाद,BPL,दुर्ग,भिलाई,2022-04-18,3,active
RC2023022,सुमित्रा बाई,श्री रामदयाल,APL,बिलासपुर,तखतपुर,2021-10-12,5,active
RC2023023,अनिल कुमार यादव,श्री राम कुमार यादव,BPL,रायपुर,आरंग,2022-06-05,4,active
RC2023024,राधा देवी,श्री मोहन लाल,APL,राजनांदगांव,छुईखदान,2021-11-28,6,active
RC2023025,विजय कुमार,श्री श्याम सुंदर,BPL,बिलासपुर,कोटा,2022-01-10,3,active
RC2023026,पार्वती देवी पटेल,श्री रामलाल पटेल,APL,दुर्ग,पाटन,2021-09-18,5,active
RC2023027,महेश कुमार साहू,श्री सुखराम साहू,BPL,रायपुर,महासमुंद,2022-03-15,4,active
RC2023028,सावित्री देवी,श्री लक्ष्मण,APL,बिलासपुर,मुंगेली,2021-12-02,7,active
RC2023029,संतोष कुमार,श्री रामनाथ,BPL,राजनांदगांव,राजनांदगांव,2022-05-22,5,active
RC2023030,मंजू देवी,श्री गोपाल दास,APL,रायपुर,सिमगा,2021-10-08,4,active
RC2023031,रामलाल पटेल,श्री दीनदयाल पटेल,BPL,दुर्ग,बेमेतरा,2022-02-25,3,active
RC2023032,गंगा बाई,श्री रामप्रसाद,APL,बिलासपुर,बिल्हा,2021-08-30,6,active
RC2023033,योगेश कुमार वर्मा,श्री प्रेम कुमार वर्मा,BPL,रायपुर,धमतरी,2022-04-08,4,active
RC2023034,कृष्णा देवी,श्री राम कुमार,APL,राजनांदगांव,खैरागढ़,2021-11-22,5,active
RC2023035,सुनील कुमार साहू,श्री रामचरण साहू,BPL,बिलासपुर,अकलतरा,2022-06-12,3,active
RC2023036,रुक्मणी देवी,श्री सीताराम,APL,दुर्ग,दुर्ग,2021-09-28,4,active
RC2023037,अरुण कुमार,श्री मोहन लाल,BPL,रायपुर,गरियाबंद,2022-01-18,6,active
RC2023038,तुलसी बाई पटेल,श्री रामदीन पटेल,APL,बिलासपुर,मस्तूरी,2021-12-15,5,active
RC2023039,राकेश कुमार,श्री हरि प्रसाद,BPL,राजनांदगांव,डोंगरगढ़,2022-03-28,4,active
RC2023040,शकुंतला देवी,श्री रामलाल,APL,रायपुर,बलौदा बाजार,2021-10-20,3,active
RC2023041,देवेंद्र कुमार यादव,श्री राम प्रसाद यादव,BPL,दुर्ग,भिलाई,2022-05-05,5,active
RC2023042,जानकी देवी,श्री श्याम लाल,APL,बिलासपुर,तखतपुर,2021-11-10,4,active
RC2023043,भरत कुमार साहू,श्री सुरेश साहू,BPL,रायपुर,आरंग,2022-02-18,6,active
RC2023044,दुर्गा देवी,श्री गोपाल,APL,राजनांदगांव,छुईखदान,2021-09-12,5,active
RC2023045,कमल कुमार वर्मा,श्री राम कुमार वर्मा,BPL,बिलासपुर,कोटा,2022-04-22,3,active
RC2023046,रामकली बाई,श्री रामदयाल,APL,दुर्ग,पाटन,2021-12-28,4,active
RC2023047,प्रकाश चंद्र,श्री दीन दयाल,BPL,रायपुर,महासमुंद,2022-06-18,5,active
RC2023048,रामबाई,श्री लक्ष्मण प्रसाद,APL,दुर्ग,राजनांदगांव,2021-10-25,7,active
RC2023049,मुकेश कुमार तिवारी,श्री रामनाथ तिवारी,BPL,बिलासपुर,बिल्हा,2022-03-08,4,active
RC2023050,सरस्वती देवी,श्री कृष्ण कुमार,APL,रायपुर,सिमगा,2021-08-22,6,active
